NIKTO-ID,PLUGIN-CATEGORY,NIST-ID,OSVDB
600219,db_outdated, SI-2,0
600220,db_outdated, SI-2,0
600221,db_outdated, SI-2,0
600222,db_outdated, SI-2,0
600223,db_outdated, SI-2,0
600224,db_outdated, SI-2,0
600225,db_outdated, SI-2,0
600226,db_outdated, SI-2,0
600227,db_outdated, SI-2,0
600228,db_outdated, SI-2,0
600229,db_outdated, SI-2,0
600230,db_outdated, SI-2,0
600231,db_outdated, SI-2,0
600232,db_outdated, SI-2,0
600233,db_outdated, SI-2,0
600234,db_outdated, SI-2,0
600235,db_outdated, SI-2,0
600236,db_outdated, SI-2,0
600237,db_outdated, SI-2,0
600238,db_outdated, SI-2,0
600239,db_outdated, SI-2,0
600240,db_outdated, SI-2,0
600241,db_outdated, SI-2,0
600242,db_outdated, SI-2,0
600243,db_outdated, SI-2,0
600244,db_outdated, SI-2,0
600245,db_outdated, SI-2,0
600246,db_outdated, SI-2,0
600247,db_outdated, SI-2,0
600248,db_outdated, SI-2,0
600249,db_outdated, SI-2,0
600250,db_outdated, SI-2,0
600251,db_outdated, SI-2,0
600252,db_outdated, SI-2,0
600253,db_outdated, SI-2,0
600254,db_outdated, SI-2,0
600255,db_outdated, SI-2,0
600256,db_outdated, SI-2,0
600257,db_outdated, SI-2,0
600258,db_outdated, SI-2,0
600259,db_outdated, SI-2,0
600260,db_outdated, SI-2,0
600261,db_outdated, SI-2,0
600262,db_outdated, SI-2,0
600263,db_outdated, SI-2,0
600264,db_outdated, SI-2,0
600265,db_outdated, SI-2,0
600266,db_outdated, SI-2,0
600267,db_outdated, SI-2,0
600268,db_outdated, SI-2,0
600269,db_outdated, SI-2,0
600270,db_outdated, SI-2,0
600271,db_outdated, SI-2,0
600272,db_outdated, SI-2,0
600273,db_outdated, SI-2,0
600274,db_outdated, SI-2,0
600275,db_outdated, SI-2,0
600276,db_outdated, SI-2,0
600277,db_outdated, SI-2,0
600278,db_outdated, SI-2,0
600279,db_outdated, SI-2,0
600280,db_outdated, SI-2,0
600281,db_outdated, SI-2,0
600282,db_outdated, SI-2,0
600283,db_outdated, SI-2,0
600284,db_outdated, SI-2,0
600285,db_outdated, SI-2,0
600286,db_outdated, SI-2,0
600287,db_outdated, SI-2,0
600288,db_outdated, SI-2,0
600289,db_outdated, SI-2,0
600290,db_outdated, SI-2,0
600291,db_outdated, SI-2,0
600292,db_outdated, SI-2,0
600293,db_outdated, SI-2,0
600294,db_outdated, SI-2,0
600295,db_outdated, SI-2,0
600296,db_outdated, SI-2,0
600297,db_outdated, SI-2,0
600298,db_outdated, SI-2,0
600299,db_outdated, SI-2,0
600300,db_outdated, SI-2,0
600301,db_outdated, SI-2,0
600302,db_outdated, SI-2,0
600303,db_outdated, SI-2,0
600304,db_outdated, SI-2,0
600305,db_outdated, SI-2,0
600306,db_outdated, SI-2,0
600307,db_outdated, SI-2,0
600308,db_outdated, SI-2,0
600309,db_outdated, SI-2,0
600310,db_outdated, SI-2,0
600311,db_outdated, SI-2,0
600312,db_outdated, SI-2,0
600313,db_outdated, SI-2,0
600314,db_outdated, SI-2,0
600315,db_outdated, SI-2,0
600316,db_outdated, SI-2,0
600317,db_outdated, SI-2,0
600318,db_outdated, SI-2,0
600319,db_outdated, SI-2,0
600320,db_outdated, SI-2,0
600321,db_outdated, SI-2,0
600322,db_outdated, SI-2,0
600323,db_outdated, SI-2,0
600325,db_outdated, SI-2,0
600326,db_outdated, SI-2,0
600327,db_outdated, SI-2,0
600328,db_outdated, SI-2,0
600329,db_outdated, SI-2,0
600330,db_outdated, SI-2,0
600331,db_outdated, SI-2,0
600332,db_outdated, SI-2,0
600333,db_outdated, SI-2,0
600334,db_outdated, SI-2,0
600335,db_outdated, SI-2,0
600336,db_outdated, SI-2,0
600337,db_outdated, SI-2,0
600338,db_outdated, SI-2,0
600339,db_outdated, SI-2,0
600340,db_outdated, SI-2,0
600341,db_outdated, SI-2,0
600342,db_outdated, SI-2,0
600343,db_outdated, SI-2,0
600344,db_outdated, SI-2,0
600345,db_outdated, SI-2,0
600346,db_outdated, SI-2,0
600348,db_outdated, SI-2,0
600349,db_outdated, SI-2,0
600350,db_outdated, SI-2,0
600351,db_outdated, SI-2,0
600352,db_outdated, SI-2,0
600353,db_outdated, SI-2,0
600354,db_outdated, SI-2,0
600355,db_outdated, SI-2,0
600356,db_outdated, SI-2,0
600357,db_outdated, SI-2,0
600358,db_outdated, SI-2,0
600359,db_outdated, SI-2,0
600360,db_outdated, SI-2,0
600361,db_outdated, SI-2,0
600362,db_outdated, SI-2,0
600363,db_outdated, SI-2,0
600364,db_outdated, SI-2,0
600365,db_outdated, SI-2,0
600366,db_outdated, SI-2,0
600367,db_outdated, SI-2,0
600368,db_outdated, SI-2,0
600369,db_outdated, SI-2,0
600370,db_outdated, SI-2,0
600371,db_outdated, SI-2,0
600372,db_outdated, SI-2,0
600373,db_outdated, SI-2,0
600374,db_outdated, SI-2,0
600375,db_outdated, SI-2,0
600376,db_outdated, SI-2,0
600377,db_outdated, SI-2,0
600378,db_outdated, SI-2,0
600379,db_outdated, SI-2,0
600380,db_outdated, SI-2,0
600381,db_outdated, SI-2,0
600382,db_outdated, SI-2,0
600383,db_outdated, SI-2,0
600384,db_outdated, SI-2,0
600385,db_outdated, SI-2,0
600386,db_outdated, SI-2,0
600387,db_outdated, SI-2,0
600388,db_outdated, SI-2,0
600389,db_outdated, SI-2,0
600390,db_outdated, SI-2,0
600391,db_outdated, SI-2,0
600392,db_outdated, SI-2,0
600393,db_outdated, SI-2,0
600394,db_outdated, SI-2,0
600395,db_outdated, SI-2,0
600396,db_outdated, SI-2,0
600397,db_outdated, SI-2,0
600399,db_outdated, SI-2,0
600400,db_outdated, SI-2,0
600401,db_outdated, SI-2,0
600402,db_outdated, SI-2,0
600403,db_outdated, SI-2,0
600404,db_outdated, SI-2,0
600405,db_outdated, SI-2,0
600406,db_outdated, SI-2,0
600407,db_outdated, SI-2,0
600408,db_outdated, SI-2,0
600409,db_outdated, SI-2,0
600410,db_outdated, SI-2,0
600411,db_outdated, SI-2,0
600412,db_outdated, SI-2,0
600413,db_outdated, SI-2,0
600414,db_outdated, SI-2,0
600415,db_outdated, SI-2,0
600416,db_outdated, SI-2,0
600417,db_outdated, SI-2,0
600418,db_outdated, SI-2,0
600419,db_outdated, SI-2,0
600420,db_outdated, SI-2,0
600421,db_outdated, SI-2,0
600422,db_outdated, SI-2,0
600423,db_outdated, SI-2,0
600424,db_outdated, SI-2,0
600425,db_outdated, SI-2,0
600426,db_outdated, SI-2,0
600427,db_outdated, SI-2,0
600428,db_outdated, SI-2,0
600429,db_outdated, SI-2,0
600430,db_outdated, SI-2,0
600431,db_outdated, SI-2,0
600432,db_outdated, SI-2,0
600433,db_outdated, SI-2,0
600434,db_outdated, SI-2,0
600435,db_outdated, SI-2,0
600436,db_outdated, SI-2,0
600437,db_outdated, SI-2,0
600438,db_outdated, SI-2,0
600439,db_outdated, SI-2,0
600440,db_outdated, SI-2,0
600441,db_outdated, SI-2,0
600442,db_outdated, SI-2,0
600443,db_outdated, SI-2,0
600444,db_outdated, SI-2,0
600445,db_outdated, SI-2,0
600446,db_outdated, SI-2,0
600447,db_outdated, SI-2,0
600448,db_outdated, SI-2,0
600449,db_outdated, SI-2,0
600450,db_outdated, SI-2,0
600451,db_outdated, SI-2,0
600452,db_outdated, SI-2,0
600453,db_outdated, SI-2,0
600454,db_outdated, SI-2,0
600455,db_outdated, SI-2,0
600456,db_outdated, SI-2,0
600457,db_outdated, SI-2,0
600458,db_outdated, SI-2,0
600459,db_outdated, SI-2,0
600460,db_outdated, SI-2,0
600461,db_outdated, SI-2,0
600462,db_outdated, SI-2,0
600463,db_outdated, SI-2,0
600464,db_outdated, SI-2,0
600465,db_outdated, SI-2,0
600466,db_outdated, SI-2,0
600467,db_outdated, SI-2,0
